T,K	Viscosity,mPa*s
352.49427682238655	3.9678569831402895
352.76267411736285	3.8654129958409733
353.1965830775745	3.7359944148790807
354.2388592397324	3.68494432270471
354.84275315342904	3.6039926658020667
355.5137463908697	3.5243790528151697
356.1847396283104	3.447441527659765
356.8557328657511	3.373180090335853
357.52672610319183	3.3009257188855603
358.2648186643766	3.225660748624838
359.07001054930544	3.140917967294248
359.8752024342343	3.064537960437071
360.68039431916316	2.987042916983439
361.485586204092	2.9145655382138553
362.2907780890208	2.8432031960407262
363.16306929769377	2.7666638982411986
364.1024598301108	2.692115737221055
365.0418503625277	2.618523321855016
365.98124089494473	2.545408779316029
366.9877307511058	2.4730110460176205
368.0613199310109	2.397327937033228
369.13490911091606	2.3258262152855425
370.27559761456524	2.252047960486761
371.41628611821443	2.1824046330665
374.771252305418	1.9899771924332552
376.18033810404347	1.9160502660882792
377.656523226413	1.8433701533920672
379.13270834878256	1.7764679576047588
380.6088934711521	1.70682885380797
382.08507859352164	1.641447162470373
383.5612637158912	1.5824515898215648
385.03744883826073	1.526801126962122
386.5136339606303	1.4738875721121603
387.9898190829999	1.420669916372256
389.2647062341372	1.3891954742632269
391.88157986015597	1.299029560395332
393.3577649825255	1.2567595366933508
394.83395010489505	1.2150977147712543
396.3101352272646	1.1731317919592152
397.78632034963414	1.1450024596395516
399.2625054720037	1.110076472429677
400.7386905943732	1.0688251867090033
402.21487571674277	1.0356781897052914
403.69106083911237	1.003443495371406
405.1672459614819	0.9807097816990047
406.64343108385145	0.9509354083747006
408.119616206221	0.9176870444076748
409.59580132859054	0.8912302669826939
410.53519186100755	0.8734910484027258
414.0243566956992	0.8177899020616262
415.50054181806877	0.7954384866508661
416.9767269404383	0.7723268190152504
418.45291206280785	0.7522561602790576
420.0220039411307	0.7158726609466748
421.40528230754694	0.7139394481463275
422.88146742991654	0.6896113769509418
424.30013884621974	0.67262517009845
425.8338376746556	0.6582889852868843
427.31002279702517	0.640347032780288
428.7862079193947	0.6239255847234033
430.26239304176426	0.6056795313268646
431.7273949435098	0.5902717529031212
433.2147632865034	0.5801350565717107
434.69094840887294	0.5637136085148255
436.1671335312425	0.5506372702473064
437.643318653612	0.5366486293099606
439.11950377598157	0.5173686328876173
440.4519046331853	0.481300819240984
441.93767537323254	0.5004606234068252
443.4138604956021	0.4898170922588445
444.8900456179716	0.4770448548812669
446.36623074034117	0.4657931219534017
447.84241586271077	0.454845489915479
448.84890571887183	0.44921962345154576
